index,probability_gcforest,label_gcforest,probability_logistic,label_logistic,probability_mlp,label_mlp,probability_random_forest,label_random_forest,probability_svm,label_svm
3,0.760019046,1,0.699032657,0,0.551832129,1,0.95,1,0.709838046,0
5,0.75935259,1,0.81172856,1,0.544691184,0,0.503571429,0,0.823492918,1
6,0.563756901,1,0.503243407,1,0.630491857,1,0.81547619,1,0.505253402,1
13,0.557228269,1,0.906586145,0,0.520565887,1,0.7,0,0.946036255,0
15,0.886273124,1,0.737541609,1,0.500492228,1,0.617857143,1,0.80477862,1
17,0.869315105,0,0.733621809,0,0.501962405,1,0.552344873,0,0.749466836,0
18,0.62218126,0,0.548671785,0,0.538103008,0,0.907142857,1,0.53296465,1
22,0.922701615,0,0.605775361,1,0.762671852,1,0.606950433,1,0.525791289,1
28,0.720544289,0,0.783442136,1,0.73475067,1,0.938095238,1,0.866465955,1
31,0.870652969,0,0.583810221,0,0.516205261,1,0.633218684,0,0.664395921,0
32,0.752473669,1,0.789081252,0,0.779174025,0,0.833333333,1,0.868531381,0
33,0.861868816,0,0.527347795,1,0.548388039,1,0.627380952,1,0.597376717,1
34,0.735718434,1,0.839564686,0,0.740189551,0,0.750595238,0,0.913689199,0
35,0.765520994,1,0.856298187,0,0.818622531,0,0.779761905,1,0.82259923,0
36,0.933639703,0,0.739094058,1,0.5765422,0,0.538620997,1,0.647691169,1
37,0.570298122,1,0.843972086,0,0.613144508,0,0.64047619,1,0.795713451,0
38,0.947532231,0,0.541519522,0,0.582256393,1,0.904341492,0,0.580402621,1
39,0.900781717,0,0.85315064,0,0.577830447,1,0.940922597,0,0.861326586,0
40,0.969594546,1,0.977957893,1,0.709227751,1,0.607738095,1,0.979782987,1
44,0.93385693,0,0.607063845,1,0.589913376,0,0.716622408,0,0.660499082,1
46,0.752032849,1,0.818674773,1,0.590422766,1,0.678571429,0,0.727091195,1
47,0.74674793,1,0.848534222,0,0.507582156,1,0.778571429,0,0.850712407,0
48,0.721631679,0,0.729104267,0,0.687641965,0,0.81047619,1,0.838202798,0
55,0.627983159,0,0.86072872,0,0.568640725,1,0.707142857,0,0.89118524,0
57,0.609526996,0,0.619170001,1,0.513468591,0,0.839285714,0,0.621792097,1
59,0.744969341,1,0.689737131,1,0.658158652,1,0.555714286,0,0.672162655,1
67,0.887294443,1,0.548256696,0,0.832129382,0,0.896428571,1,0.607814925,0
70,0.73818817,1,0.692430645,0,0.717879728,0,0.789285714,1,0.647033708,0
71,0.748136171,1,0.726649034,0,0.735906083,0,0.50952381,1,0.831444158,0
74,0.994077846,0,0.911965728,0,0.573118832,0,0.870542233,0,0.940167114,0
78,0.909078764,0,0.614433503,0,0.56141527,0,0.891640075,0,0.585480541,0
82,0.957524031,0,0.571642846,1,0.571433259,0,0.933302088,0,0.63191425,1
83,0.92425084,0,0.541343757,0,0.505990282,1,0.567645888,0,0.56783,0
85,0.726899196,0,0.956164168,0,0.534479492,0,0.761577922,0,0.978226311,0
86,0.871130936,0,0.652348801,0,0.571747401,0,0.935714286,0,0.658220101,0
93,0.73762806,1,0.618345366,0,0.614975538,0,0.985714286,1,0.540496353,0
95,0.756861766,1,0.526336801,0,0.723975565,0,0.698809524,1,0.558913275,0
98,0.879935849,0,0.974619782,0,0.796239119,0,0.574618145,1,0.974128421,0
100,0.950412463,0,0.520249074,1,0.553958557,1,0.976100825,0,0.537020184,1
104,0.757073262,1,0.565838643,1,0.548132336,0,0.645833333,0,0.663356758,1
105,0.801154776,1,0.59687548,1,0.932419598,1,0.801785714,0,0.814326242,1
108,0.784288794,0,0.785253245,0,0.679865048,0,0.694788086,1,0.791697812,0
110,0.945666302,0,0.754984912,1,0.57982774,1,0.627769584,1,0.792526084,1
111,0.606587459,0,0.979942258,0,0.955825783,0,0.564285714,0,0.987842476,0
118,0.55579907,1,0.576929358,0,0.518885307,1,0.70952381,1,0.651869558,0
119,0.777633923,0,0.950935547,0,0.555956415,0,0.942857143,1,0.972963486,0
121,0.755762276,0,0.779191511,0,0.752788376,0,0.777535058,0,0.819212666,0
122,0.572866444,1,0.613712804,0,0.534813532,0,0.964285714,1,0.617416166,0
125,0.702119017,0,0.881277459,0,0.637773833,0,0.786309524,1,0.867206148,0
127,0.794560399,1,0.629373462,0,0.679742397,1,0.571428571,1,0.553903938,0
129,0.748910645,1,0.697350902,0,0.754775202,0,0.592857143,0,0.77039791,0
131,0.60445223,0,0.59294186,0,0.573261742,0,0.614285714,0,0.628697925,0
136,0.60379085,0,0.566575017,0,0.557774605,0,0.867857143,1,0.51024497,1
137,0.74114839,1,0.654019271,0,0.690202969,0,0.68452381,1,0.644943437,0
140,0.754939356,1,0.878521443,0,0.855999483,0,0.664285714,0,0.891964141,0
141,0.8472939,0,0.742936488,1,0.80204024,1,0.789350064,1,0.79081151,1
143,0.736208665,1,0.853208253,0,0.611632553,0,0.867857143,1,0.926763615,0
144,0.755528548,1,0.683666356,0,0.556898615,0,0.888095238,1,0.81147519,0
145,0.607856903,1,0.931056262,0,0.571024927,0,0.842857143,1,0.950839642,0
147,0.96811968,1,0.999323029,1,0.736182042,1,0.645238095,1,0.999999892,1
148,0.886171427,1,0.99446202,1,0.994561239,1,0.830952381,0,0.99677434,1
149,0.887692761,1,0.658001602,1,0.752594184,1,0.888095238,0,0.670842277,1
150,0.896210038,0,0.719170659,1,0.666083309,1,0.886022025,0,0.756855724,1
155,0.759862994,1,0.551552525,0,0.698467399,1,0.988095238,1,0.516617111,1
160,0.683260466,1,0.574000902,0,0.648634868,0,0.541666667,1,0.597853184,1
162,0.887772446,0,0.516993886,0,0.6035064,0,0.805783852,0,0.541142869,0
164,0.719043702,0,0.613793527,1,0.530012625,1,0.840297482,0,0.677627024,1
166,0.72874731,1,0.859103344,0,0.690640653,0,0.673809524,1,0.829141885,0
167,0.756214604,1,0.732261013,0,0.549591992,0,0.692857143,0,0.697072539,0
168,0.890851864,1,0.617423352,0,0.559994966,0,0.942857143,1,0.724647352,0
170,0.609167979,0,0.648913001,1,0.521840088,0,0.739166667,1,0.646709399,1
173,0.887692761,1,0.971511174,1,0.869405312,1,0.680952381,0,0.987870015,1
175,0.874463159,0,0.652673155,0,0.558979618,1,0.951190476,1,0.589958067,0
176,0.939717534,0,0.60041144,0,0.591244896,0,0.817750782,0,0.644315161,0
178,0.758850869,1,0.897995329,1,0.651126414,0,0.613571429,0,0.939977509,1
179,0.778888349,0,0.88597422,0,0.838059572,0,0.758498911,0,0.941370985,0
180,0.959551838,0,0.661431447,1,0.59389567,1,0.749582261,0,0.668198193,1
182,0.554373018,1,0.921103656,0,0.834364826,0,0.573095238,1,0.932537869,0
187,0.939535451,0,0.700472507,0,0.554728469,0,0.78394273,0,0.735531723,0
190,0.953719737,0,0.657804294,0,0.712053578,1,0.686614542,0,0.68928114,0
