index,probability_gcforest,label_gcforest,probability_logistic,label_logistic,probability_mlp,label_mlp,probability_random_forest,label_random_forest,probability,label
3,0.826052972,1,0.750394266,0,0.550890145,0,0.975,1,0.80041638,0
5,0.840686225,1,0.719874979,1,0.628384922,1,0.533928571,1,0.711077691,1
13,0.503724954,0,0.931148999,0,0.54459525,1,0.692857143,0,0.948046893,0
17,0.85656292,0,0.737854373,0,0.609209294,0,0.747198389,0,0.771685888,0
18,0.588894932,0,0.569352004,0,0.626562684,0,0.917857143,1,0.535614956,0
22,0.952762351,0,0.571802344,1,0.643057565,1,0.561969858,1,0.542999102,1
28,0.755925413,0,0.762522644,1,0.725145318,1,0.946428571,1,0.831925256,1
31,0.875985255,0,0.659616434,0,0.561743959,1,0.786067143,0,0.706683577,0
32,0.842213119,1,0.798560782,0,0.593389724,0,0.842857143,1,0.838767145,0
33,0.788822038,0,0.529548918,0,0.542833019,0,0.567261905,1,0.5,1
34,0.760604829,1,0.880883933,0,0.674234702,0,0.710714286,0,0.93298012,0
35,0.817803604,1,0.861680053,0,0.672579476,0,0.794047619,1,0.877798133,0
36,0.886507594,0,0.680233737,1,0.526071994,1,0.572866047,0,0.647427686,1
37,0.520178825,0,0.840159352,0,0.679342871,0,0.543333333,0,0.813814081,0
38,0.954383108,0,0.540585332,0,0.532107986,0,0.931415811,0,0.516374112,1
39,0.928810204,0,0.881002698,0,0.502489631,1,0.936059299,0,0.889538149,0
44,0.921623867,0,0.513796158,1,0.555423655,0,0.797032828,0,0.5,1
46,0.77857581,1,0.786936721,1,0.579726112,0,0.728571429,0,0.705038188,1
47,0.826492438,1,0.868690358,0,0.618902967,0,0.785714286,0,0.871078602,0
48,0.725724771,0,0.755769362,0,0.525256793,1,0.682142857,1,0.810196215,0
55,0.789331518,0,0.876656916,0,0.572925383,1,0.749404762,0,0.884468457,0
57,0.663891682,0,0.620482466,1,0.547211731,1,0.857142857,0,0.667572923,1
59,0.814643873,1,0.69434788,1,0.637318638,1,0.647619048,1,0.744484585,1
67,0.922202508,1,0.613590304,0,0.673123519,0,0.927380952,1,0.656038716,0
70,0.809812666,1,0.699369195,0,0.60044086,0,0.788095238,1,0.709614824,0
71,0.851835666,1,0.756415924,0,0.643330226,0,0.50952381,0,0.830482819,0
82,0.929335345,0,0.538466742,1,0.574776867,0,0.9260238,0,0.541055823,1
83,0.934800007,0,0.533808492,0,0.575185271,0,0.709721042,0,0.547020215,0
93,0.845575715,1,0.619997166,0,0.680224747,0,0.919047619,1,0.577696843,0
95,0.760189316,1,0.565056246,0,0.6400649,0,0.654761905,1,0.628921541,0
98,0.880383078,0,0.982104386,0,0.754866866,0,0.770570913,0,0.984731868,0
100,0.960825054,0,0.505374645,0,0.610839852,0,0.978315169,0,0.524596666,0
104,0.84261303,1,0.535828147,1,0.641618756,0,0.553571429,0,0.543931804,1
105,0.85540802,1,0.718210779,1,0.912576262,1,0.761904762,0,0.908853794,1
108,0.922321418,0,0.801991009,0,0.648236812,0,0.644930359,1,0.811233634,0
110,0.889720017,0,0.750086634,1,0.542750633,0,0.567947998,1,0.793516101,1
118,0.573791694,0,0.567445847,0,0.58381999,1,0.795833333,1,0.53891717,0
119,0.801627892,0,0.964228051,0,0.608096998,0,0.930952381,1,0.979165345,0
122,0.618587789,1,0.617186569,0,0.548239925,0,0.939285714,1,0.58647669,0
