index,probability,label
3,0.604809537,1
5,0.971046377,1
6,0.52708517,0
7,0.805394766,0
9,0.62105312,1
13,0.765303647,1
15,0.867354156,1
16,0.74958585,0
17,0.830724353,0
18,0.657179302,0
21,0.959392257,0
22,0.708514381,1
25,0.722346744,0
26,0.767596397,0
27,0.51164327,0
28,0.867106556,1
29,0.662525834,0
31,0.854562843,1
32,0.778124671,0
33,0.616120562,0
34,0.502854339,1
35,0.745767211,0
36,0.782572502,1
37,0.833254873,0
38,0.706707088,0
39,0.566637605,1
40,0.69807453,1
44,0.699191829,1
46,0.885611743,1
47,0.655338472,0
48,0.602684551,0
51,0.999045207,0
54,0.705713829,0
55,0.544471113,1
57,0.552423626,1
58,0.65990372,0
59,0.890559393,1
67,0.774058603,0
70,0.673375405,0
71,0.61782294,0
73,0.955755994,1
74,0.508317032,1
75,0.884984709,0
78,0.742355801,0
79,0.515508936,1
81,0.648770904,0
82,0.567758558,0
83,0.722803144,0
84,0.8501588,0
85,0.588672228,1
86,0.778911462,1
89,0.95799588,0
91,0.892005836,0
93,0.740589179,0
95,0.651516488,0
96,0.970583465,0
97,0.997838058,1
98,0.781592653,0
99,0.695389538,0
100,0.587513335,0
104,0.67320366,0
105,0.991320186,1
108,0.804626415,0
109,0.703573405,1
110,0.62955223,1
111,0.989127666,0
114,0.721779094,0
116,0.921952143,0
118,0.732527468,0
119,0.706130219,0
121,0.509668713,1
122,0.5362815,1
125,0.582671263,0
127,0.650359849,1
128,0.83628839,0
129,0.53844065,0
131,0.904780437,1
135,0.638092509,0
136,0.674504655,0
137,0.600195949,0
140,0.886582758,0
141,0.92897044,1
143,0.553846729,0
144,0.510387477,1
145,0.591951714,0
147,0.528489625,1
148,0.999930795,1
149,0.970276791,1
150,0.649820612,0
151,0.950635568,0
154,0.867780712,0
155,0.658947894,1
158,0.791010014,0
160,0.904122205,0
162,0.731104239,1
164,0.528100766,0
166,0.783939837,0
167,0.691760187,0
168,0.684623264,1
169,0.713031595,0
170,0.616447422,1
173,0.997323024,1
175,0.809872189,0
176,0.645972785,1
178,0.688392691,0
179,0.876136232,0
180,0.808119399,1
182,0.85633124,0
186,0.858295159,1
187,0.733018348,1
189,0.90863739,0
190,0.559181584,1
191,0.704632651,0
192,0.527286849,1
194,0.770492865,0
195,0.999953593,1
196,0.515825752,0
197,0.99705827,1
198,0.533159667,1
199,0.913465629,1
203,0.656800913,0
205,0.543441539,1
206,0.813903886,1
207,0.875929166,0
208,0.923509568,0
209,0.610176638,0
211,0.736485494,0
212,0.994328094,0
214,0.516237401,0
217,0.639040477,0
218,0.864989054,1
219,0.93027493,0
222,0.799142028,1
224,0.857594704,1
225,0.756584653,1
226,0.860705081,0
228,0.76711678,1
229,0.757976583,0
232,0.864038461,0
234,0.722732601,1
236,0.548088861,0
240,0.761836171,0
241,0.865874804,0
242,0.612221329,0
244,0.584152192,1
245,0.755034859,1
247,0.776258759,0
248,0.975640564,1
250,0.89572871,0
252,0.725807949,0
256,0.620520254,0
