index,probability_gcforest,label_gcforest,probability_logistic,label_logistic,probability_mlp,label_mlp,probability_random_forest,label_random_forest,probability_svm,label_svm
3,0.766149644,1,0.705611502,0,0.604809537,1,0.945,1,0.710250188,0
5,0.743022013,1,0.586239199,1,0.971046377,1,0.744047619,0,0.692092606,1
6,0.550552754,0,0.581658936,1,0.52708517,0,0.792380952,1,0.518937712,1
7,0.964249444,0,0.803673821,0,0.805394766,0,0.871546471,0,0.825606256,0
9,0.83428343,1,0.616645892,1,0.62105312,1,0.71547619,1,0.527961204,1
13,0.621702296,1,0.865529048,0,0.765303647,1,0.71547619,0,0.918482955,0
15,0.645381825,1,0.576147428,1,0.867354156,1,0.608333333,0,0.668517113,1
16,0.852902744,0,0.646272767,0,0.74958585,0,0.974517376,0,0.716246019,0
17,0.724280385,0,0.598962968,0,0.830724353,0,0.760714286,1,0.646710155,0
18,0.578143839,1,0.502951716,0,0.657179302,0,0.903571429,1,0.6308378,1
21,0.915931342,0,0.880542337,0,0.959392257,0,0.767025525,0,0.916231822,0
22,0.885261748,0,0.6630148,1,0.708514381,1,0.626190476,1,0.628759929,1
25,0.947153925,0,0.750687476,0,0.722346744,0,0.923157198,0,0.770999231,0
26,0.910145909,0,0.569712579,0,0.767596397,0,0.934042812,0,0.515831065,0
27,0.839301583,0,0.741937736,0,0.51164327,0,0.970971781,0,0.823168878,0
28,0.540409396,0,0.805733423,1,0.867106556,1,0.960714286,1,0.859781164,1
29,0.948676,0,0.813574413,0,0.662525834,0,0.808660954,0,0.856107763,0
31,0.817774358,0,0.608589638,0,0.854562843,1,0.636830581,0,0.654328099,0
32,0.686534694,1,0.779455175,0,0.778124671,0,0.904761905,1,0.862288343,0
33,0.730626717,0,0.509709535,1,0.616120562,0,0.548809524,1,0.598070446,1
34,0.831352044,1,0.800221825,0,0.502854339,1,0.683333333,0,0.91580875,0
35,0.731300144,1,0.812979876,0,0.745767211,0,0.826190476,1,0.841234616,0
36,0.818546764,0,0.624629223,1,0.782572502,1,0.694497485,1,0.631003997,1
37,0.617439802,1,0.768577576,0,0.833254873,0,0.796428571,1,0.728844299,0
38,0.953144854,0,0.579530995,1,0.706707088,0,0.689856929,0,0.650337874,1
39,0.9316098,0,0.817626843,0,0.566637605,1,0.892533793,0,0.796466486,0
40,0.866217437,1,0.966994955,1,0.69807453,1,0.525714286,0,0.960823796,1
44,0.723252307,0,0.547953242,1,0.699191829,1,0.540686343,1,0.646236642,1
46,0.832989559,1,0.752144351,1,0.885611743,1,0.760714286,0,0.616055269,1
47,0.776249328,1,0.749399928,0,0.655338472,0,0.727380952,0,0.784889483,0
48,0.687950024,0,0.724368622,0,0.602684551,0,0.79047619,1,0.820523026,0
51,0.953558009,0,0.994189386,0,0.999045207,0,0.531774105,0,0.997439337,0
54,0.870578249,0,0.757436775,0,0.705713829,0,0.628412033,0,0.769582031,0
55,0.876659156,0,0.840379969,0,0.544471113,1,0.686190476,0,0.860994604,0
57,0.708765908,0,0.537681764,1,0.552423626,1,0.814285714,0,0.574014722,1
58,0.953065503,0,0.850364155,0,0.65990372,0,0.833859338,0,0.885844411,0
59,0.824664697,1,0.55650763,1,0.890559393,1,0.692261905,0,0.57428467,1
67,0.945694128,1,0.589417036,1,0.774058603,0,0.910714286,1,0.542141721,0
70,0.628233674,1,0.631020417,0,0.673375405,0,0.860820106,1,0.617924997,0
71,0.831162834,1,0.630224547,0,0.61782294,0,0.521428571,1,0.823491706,0
73,0.738011078,1,0.849833224,1,0.955755994,1,0.921428571,1,0.873077743,1
74,0.971925786,0,0.875507839,0,0.508317032,1,0.871783208,0,0.918915658,0
75,0.842306144,0,0.97393823,0,0.884984709,0,0.705837754,0,0.973249509,0
78,0.947778865,0,0.539944465,0,0.742355801,0,0.786260681,0,0.517331448,1
79,0.878536125,1,0.922515231,1,0.515508936,1,1,1,0.884355678,1
81,0.937440871,0,0.525018219,0,0.648770904,0,0.911196375,0,0.534085163,0
82,0.929789407,0,0.59952147,1,0.567758558,0,0.791109352,0,0.662124363,1
83,0.704681433,0,0.58599518,1,0.722803144,0,0.737619048,1,0.538939269,1
84,0.870674481,0,0.654269463,0,0.8501588,0,0.737458462,0,0.721547664,0
85,0.580455202,0,0.92289769,0,0.588672228,1,0.75952381,0,0.952603913,0
86,0.686045575,0,0.683565911,0,0.778911462,1,0.913095238,0,0.651651916,0
89,0.936729318,0,0.95245653,0,0.95799588,0,0.804687833,0,0.978928029,0
91,0.953690332,0,0.672020849,0,0.892005836,0,0.991041173,0,0.69385152,0
93,0.795218588,1,0.542330294,0,0.740589179,0,0.953571429,1,0.567185656,1
95,0.737680818,1,0.5301758,1,0.651516488,0,0.560119048,1,0.546995405,1
96,0.956827182,0,0.956708663,0,0.970583465,0,0.59327313,0,0.979491102,0
97,0.80595033,1,0.937571119,1,0.997838058,1,0.51547619,1,0.967634765,1
98,0.841309338,0,0.966374548,0,0.781592653,0,0.786309524,1,0.958380148,0
99,0.925832359,0,0.59371094,0,0.695389538,0,0.988725687,0,0.691737568,0
100,0.935651519,0,0.586792607,1,0.587513335,0,0.941083077,0,0.602402926,1
104,0.942221202,1,0.65207022,1,0.67320366,0,0.588095238,0,0.695064909,1
105,0.667192769,1,0.65613724,0,0.991320186,1,0.739880952,0,0.550772186,0
108,0.934296829,0,0.674334183,0,0.804626415,0,0.731040634,1,0.768836363,0
109,0.628783246,1,0.559336077,1,0.703573405,1,0.74047619,1,0.597822962,1
110,0.725290312,0,0.718901663,1,0.62955223,1,0.739285714,1,0.772736985,1
111,0.693812153,0,0.958028133,0,0.989127666,0,0.517857143,1,0.97641713,0
114,0.933858737,0,0.742368511,0,0.721779094,0,0.948890368,0,0.738087714,0
116,0.91217709,0,0.781817311,0,0.921952143,0,0.670392391,0,0.751980962,0
118,0.608913074,1,0.513069996,1,0.732527468,0,0.648571429,1,0.524401132,0
119,0.718410031,0,0.940464187,0,0.706130219,0,0.904047619,1,0.94885566,0
121,0.694184052,0,0.729849732,0,0.509668713,1,0.680602811,0,0.71593215,0
122,0.500880991,0,0.519400507,0,0.5362815,1,0.978571429,1,0.540277826,0
125,0.703903437,0,0.852626385,0,0.582671263,0,0.793224299,1,0.84818125,0
