AF3,F7,F3,FC5,T7,P7,O1,2,P8,T8,FC6,F4,F8,AF4,label
4408.21,4104.1,4380.0,4232.31,4449.74,4750.26,4169.23,4731.28,4311.28,4352.31,4319.49,4388.21,4715.9,4464.1,0
4347.18,3975.38,4266.67,4102.56,4333.33,4617.95,4097.44,4612.82,4210.77,4240.51,4248.21,4313.33,4664.1,4411.79,1
4317.44,3981.03,4283.59,4121.03,4351.28,4635.38,4091.28,4633.85,4210.77,4257.44,4234.87,4295.9,4658.97,4407.18,1
4381.54,4069.74,4294.87,4168.21,4348.21,4614.87,4054.87,4592.82,4179.49,4208.72,4202.05,4292.82,4617.95,4415.38,0
4390.26,4054.87,4349.23,4194.87,4420.51,4692.82,4154.36,4687.69,4272.82,4314.36,4300.0,4355.9,4703.59,4463.59,1
4382.05,4063.08,4329.23,4188.21,4412.82,4688.72,4153.33,4682.56,4270.26,4298.46,4267.69,4342.56,4687.69,4437.44,1
4330.26,4009.74,4304.1,4142.56,4371.79,4656.41,4113.33,4649.23,4226.67,4246.67,4193.85,4305.64,4610.77,4377.95,1
4328.21,4059.49,4290.26,4162.05,4373.85,4649.74,4102.05,4646.67,4217.44,4227.18,4213.33,4298.46,4605.13,4372.82,0
4362.56,3983.08,4273.33,4115.38,4336.41,4624.62,4104.62,4627.18,4212.82,4233.85,4245.13,4324.62,4663.08,4421.03,1
4320.0,4031.28,4277.95,4143.08,4377.95,4648.21,4102.56,4644.62,4228.21,4255.9,4229.23,4297.95,4643.08,4394.36,1
4400.0,4049.74,4278.46,4134.87,4330.77,4609.23,4058.46,4613.33,4196.92,4242.56,4237.95,4304.62,4669.23,4468.21,0
4312.31,3973.33,4262.56,4092.31,4331.28,4598.97,4090.26,4620.0,4211.28,4250.26,4244.1,4305.64,4671.79,4418.97,1
4429.23,4065.13,4296.92,4154.36,4365.13,4628.21,4083.59,4617.44,4225.64,4285.64,4256.41,4326.15,4696.41,4481.03,0
4370.77,4058.46,4279.49,4153.33,4334.87,4614.87,4067.18,4607.69,4201.54,4226.67,4220.0,4291.28,4623.59,4404.62,0
4406.67,4076.41,4295.9,4150.26,4320.51,4598.97,4058.46,4615.9,4196.41,4227.18,4212.82,4313.85,4637.44,4457.44,0
4317.44,4021.54,4281.54,4140.51,4347.69,4606.67,4095.38,4625.13,4206.67,4252.82,4222.56,4294.36,4640.0,4381.03,0
4406.67,4128.21,4296.92,4162.56,4348.72,4607.69,4062.56,4601.03,4192.82,4211.28,4202.05,4296.41,4617.95,4427.69,1
4454.36,4060.0,4311.28,4149.74,4321.54,4588.72,4071.28,4611.79,4213.33,4248.21,4277.44,4340.0,4746.67,4538.97,0
4313.33,4022.05,4270.26,4130.26,4380.0,4648.72,4093.85,4654.87,4242.56,4256.41,4222.05,4288.21,4642.05,4388.72,1
4322.05,4038.97,4276.41,4126.15,4354.36,4623.08,4113.33,4621.03,4221.03,4238.46,4229.74,4305.13,4631.79,4382.05,1
4356.41,3983.59,4280.51,4115.38,4333.85,4616.92,4096.92,4622.56,4217.44,4236.41,4243.59,4314.36,4665.64,4422.05,1
4395.38,4074.36,4332.31,4197.95,4404.1,4671.79,4133.85,4676.41,4258.97,4282.56,4224.62,4327.69,4634.36,4424.62,1
4425.13,4069.74,4291.79,4138.97,4348.21,4621.03,4068.21,4599.49,4185.64,4247.69,4240.0,4315.9,4708.72,4498.46,0
4415.38,4048.21,4281.54,4158.46,4347.69,4600.0,4069.23,4585.13,4185.13,4252.82,4240.0,4306.15,4671.28,4472.31,1
4306.15,4024.1,4288.21,4138.97,4369.74,4654.87,4109.23,4670.77,4253.33,4269.74,4225.64,4302.05,4648.21,4376.41,1
4444.62,4091.28,4301.03,4152.82,4354.87,4635.38,4078.46,4612.82,4203.08,4266.67,4246.15,4316.92,4679.49,4475.9,0
4321.03,4010.77,4289.23,4153.85,4359.49,4631.28,4063.59,4625.13,4215.38,4257.44,4226.15,4300.0,4627.69,4376.92,0
