AF3,F7,F3,FC5,T7,P7,O1,2,P8,T8,FC6,F4,F8,AF4,index
4324.1,4022.05,4295.38,4137.95,4373.33,4654.36,4106.67,4653.85,4238.97,4261.54,4231.28,4309.74,4653.33,4393.85,9
4331.28,3992.31,4275.38,4122.05,4360.51,4634.36,4090.26,4640.0,4213.85,4259.49,4236.41,4290.26,4674.87,4423.59,10
4367.18,4051.28,4320.0,4181.03,4402.05,4674.87,4129.23,4673.85,4256.41,4278.97,4236.41,4322.05,4650.77,4411.79,14
4385.13,4088.72,4344.62,4197.95,4420.51,4714.87,4140.0,4697.95,4285.13,4328.21,4297.44,4363.59,4695.38,4450.77,30
4334.87,4041.54,4314.36,4150.26,4363.08,4656.41,4095.38,4638.46,4217.95,4258.97,4227.18,4291.79,4630.77,4383.08,34
4348.72,4043.08,4343.59,4154.87,4368.21,4662.05,4106.15,4649.74,4228.21,4272.82,4258.46,4323.08,4658.46,4405.13,46
4323.08,4017.95,4287.69,4136.41,4367.69,4656.92,4088.72,4640.0,4220.0,4261.54,4243.08,4307.69,4633.33,4388.21,47
4372.82,4003.59,4292.31,4127.18,4357.95,4629.74,4088.72,4633.33,4211.28,4270.26,4267.69,4321.54,4727.69,4476.92,62
4325.64,4017.44,4299.49,4153.85,4388.72,4667.69,4120.51,4660.51,4246.67,4253.33,4203.59,4300.51,4621.54,4384.62,67
4387.69,4045.64,4338.97,4200.51,4395.9,4662.56,4130.77,4667.18,4247.69,4272.31,4213.85,4334.87,4624.1,4414.87,72
4384.62,4055.38,4343.59,4188.21,4422.05,4693.85,4160.51,4688.21,4272.82,4309.23,4299.49,4350.77,4701.54,4462.05,79
4438.97,4118.97,4317.44,4168.72,4347.18,4604.62,4048.21,4578.46,4179.49,4220.0,4238.97,4318.97,4676.92,4478.46,97
4445.64,4111.28,4282.56,4177.44,4342.05,4613.85,4075.38,4574.87,4164.62,4232.82,4226.67,4303.59,4651.79,4486.15,105
4349.23,3992.82,4282.56,4110.77,4357.44,4631.79,4088.72,4615.9,4209.74,4258.46,4227.18,4300.51,4646.15,4407.18,117
4335.38,4051.79,4265.64,4112.31,4352.82,4627.69,4111.79,4630.26,4227.69,4233.85,4229.74,4295.9,4638.97,4390.77,144
4424.1,4067.69,4281.03,4153.85,4329.74,4606.67,4071.28,4601.54,4198.46,4243.59,4201.03,4314.87,4700.51,4492.82,148
4389.74,4092.82,4287.69,4157.95,4335.38,4607.69,4062.05,4612.82,4187.18,4224.62,4197.44,4294.36,4634.87,4428.21,149
4366.15,4013.85,4298.97,4137.44,4361.03,4632.82,4088.21,4643.08,4242.56,4290.77,4272.82,4323.08,4724.1,4468.72,156
4363.59,4065.64,4341.03,4185.13,4383.08,4677.95,4123.08,4677.44,4262.05,4298.46,4270.26,4343.59,4670.26,4425.13,168
4380.0,4073.85,4281.54,4156.92,4331.28,4593.33,4056.41,4579.49,4165.13,4201.54,4161.03,4296.92,4629.74,4432.82,173
4324.1,4020.51,4297.95,4163.59,4377.44,4654.87,4104.62,4649.74,4234.36,4256.41,4213.33,4307.18,4635.38,4385.13,183
4338.46,4035.38,4298.97,4151.28,4386.67,4662.56,4092.31,4644.1,4240.51,4284.62,4260.51,4317.44,4653.33,4403.59,194
4482.56,4132.31,4308.21,4168.72,4330.77,4583.59,4068.72,4588.72,4185.13,4237.95,4282.05,4349.23,4744.62,4535.38,195
4465.13,4144.62,4312.82,4171.79,4331.28,4586.15,4068.72,4602.56,4194.87,4219.49,4216.92,4310.26,4641.54,4485.64,197
4409.23,4127.69,4297.44,4160.51,4347.18,4604.1,4054.36,4584.62,4175.38,4202.56,4202.05,4295.38,4617.95,4431.28,199
4377.44,4034.87,4329.74,4188.21,4392.31,4667.69,4119.49,4661.54,4244.1,4265.13,4201.54,4322.56,4611.79,4398.46,210
4384.62,4068.72,4337.44,4186.15,4429.23,4705.13,4155.9,4690.26,4282.56,4319.49,4297.95,4342.05,4703.08,4453.85,229
4362.05,4049.23,4359.49,4152.82,4368.21,4664.1,4108.21,4656.92,4232.82,4275.38,4257.95,4331.79,4665.64,4417.44,248
4385.13,4029.74,4277.95,4121.03,4325.13,4608.21,4061.03,4628.21,4219.49,4247.18,4239.49,4304.1,4669.74,4453.85,257
4363.08,4062.05,4356.92,4166.15,4373.85,4666.15,4109.23,4654.36,4233.33,4278.97,4250.77,4322.56,4660.0,4405.64,264
4396.41,4025.13,4298.46,4127.18,4345.13,4599.49,4053.33,4613.85,4222.05,4247.69,4257.95,4320.51,4698.46,4461.03,267
4408.72,4039.49,4295.9,4141.03,4348.72,4614.36,4073.33,4598.97,4184.1,4257.95,4238.46,4315.9,4677.44,4452.82,270
4406.15,4038.97,4305.64,4139.49,4356.92,4630.77,4086.67,4634.87,4221.03,4271.79,4270.77,4330.26,4745.64,4504.62,276
4367.18,4045.64,4329.74,4183.08,4407.69,4696.92,4151.79,4677.44,4265.13,4292.82,4275.9,4333.85,4674.36,4428.21,293
4366.15,4030.26,4316.41,4162.05,4391.79,4657.95,4113.33,4662.05,4250.26,4268.72,4214.87,4318.46,4622.05,4403.08,322
4454.36,4124.1,4280.51,4160.0,4328.72,4590.26,4067.18,4600.0,4181.03,4209.74,4225.64,4309.74,4659.49,4477.95,324
4330.26,4051.28,4275.38,4120.51,4346.67,4630.77,4121.54,4626.15,4210.26,4241.54,4233.33,4307.18,4632.82,4387.18,339
4375.9,4071.79,4342.05,4194.36,4419.49,4693.85,4142.05,4690.77,4276.92,4304.1,4283.59,4345.64,4696.41,4452.31,341
4330.26,4016.41,4305.64,4155.38,4386.15,4658.46,4113.33,4656.41,4240.0,4258.97,4207.69,4309.23,4630.26,4384.1,373
4360.51,4016.92,4263.59,4121.03,4316.41,4605.13,4062.56,4614.87,4201.54,4239.49,4234.87,4297.95,4651.79,4428.21,375
4393.33,4017.44,4296.92,4124.1,4336.41,4603.08,4056.41,4586.15,4182.56,4229.74,4241.54,4314.87,4684.1,4456.41,376
4430.26,4091.79,4288.21,4173.85,4337.44,4607.18,4068.21,4577.44,4165.64,4238.46,4229.23,4308.21,4656.92,4472.31,380
4360.51,4047.69,4357.44,4152.31,4371.79,4666.67,4106.67,4655.9,4235.38,4274.36,4257.44,4330.77,4664.62,4418.97,381
4391.79,4008.72,4257.95,4123.08,4351.79,4607.69,4075.9,4585.13,4177.44,4233.85,4228.21,4295.9,4657.95,4451.79,395
4333.33,3968.21,4262.05,4089.23,4328.21,4603.08,4091.28,4622.05,4210.77,4244.62,4250.77,4303.59,4692.31,4434.36,398
4440.51,4086.67,4304.62,4154.87,4353.85,4636.41,4080.0,4610.26,4210.26,4268.21,4244.1,4318.46,4678.46,4473.85,419
4408.72,4053.85,4279.49,4132.82,4323.59,4606.15,4055.9,4595.38,4194.36,4241.03,4230.26,4304.62,4663.59,4474.36,424
4408.72,4051.79,4281.03,4134.87,4325.13,4612.31,4058.46,4591.79,4178.46,4233.33,4231.28,4304.1,4662.05,4469.74,430
