AF3,F7,F3,FC5,T7,P7,O1,label
4299.49,3997.44,4277.95,4116.92,4353.85,4623.08,4100,1
4302.05,3985.64,4261.03,4129.74,4334.36,4615.38,4072.31,0
4321.03,4015.9,4265.13,4122.56,4333.33,4613.33,4072.82,0
4408.21,4104.1,4380,4232.31,4449.74,4750.26,4169.23,0
4347.18,3975.38,4266.67,4102.56,4333.33,4617.95,4097.44,1
4292.82,4007.18,4275.38,4120,4336.92,4620.51,4059.49,0
4295.9,4017.44,4261.54,4120,4343.59,4636.41,4063.08,0
4317.44,3981.03,4283.59,4121.03,4351.28,4635.38,4091.28,1
4306.67,4017.44,4249.23,4135.38,4339.49,4631.28,4081.54,0
4309.23,4019.49,4282.05,4119.49,4352.82,4627.18,4088.21,0
4257.95,4009.23,4235.9,4121.03,4332.82,4618.46,4059.49,0
4381.54,4069.74,4294.87,4168.21,4348.21,4614.87,4054.87,0
4286.15,4014.87,4255.38,4122.05,4337.95,4614.87,4070.26,1
4309.23,4031.28,4268.21,4136.92,4352.31,4629.74,4084.62,1
4293.33,4030.26,4266.67,4133.33,4337.44,4615.9,4068.72,0
4285.13,3993.85,4261.03,4100,4322.56,4602.56,4052.31,1
4285.13,4008.21,4262.05,4110.77,4335.38,4609.74,4048.21,1
4293.85,4001.03,4263.08,4124.1,4338.46,4622.56,4054.87,0
4308.72,4031.79,4277.95,4114.36,4338.97,4620.51,4056.92,0
4322.05,4054.87,4276.92,4151.79,4358.97,4646.67,4084.62,1
4301.03,3987.18,4276.92,4112.31,4361.03,4637.44,4089.23,1
4298.46,4011.28,4255.9,4111.79,4346.15,4573.33,4103.59,0
4288.72,3983.59,4265.13,4104.62,4331.28,4613.85,4049.74,1
4283.08,3985.64,4252.31,4107.18,4326.67,4604.1,4045.64,0
4390.26,4054.87,4349.23,4194.87,4420.51,4692.82,4154.36,1
4290.77,4004.62,4261.54,4124.62,4335.9,4611.28,4043.08,1
4286.67,4003.59,4266.67,4135.9,4344.62,4614.87,4056.41,0
