O2,P8,T8,FC6,F4,F8,AF4,label
4623.59,4202.56,4229.23,4211.79,4278.97,4600,4369.23,1
4585.64,4192.31,4225.13,4195.9,4283.08,4607.18,4358.46,0
4602.05,4192.31,4223.08,4155.38,4286.15,4608.21,4371.79,0
4731.28,4311.28,4352.31,4319.49,4388.21,4715.9,4464.1,0
4612.82,4210.77,4240.51,4248.21,4313.33,4664.1,4411.79,1
4614.36,4194.87,4229.23,4158.46,4270.26,4600.51,4353.33,0
4620,4203.08,4225.13,4195.9,4271.28,4591.79,4350.77,0
4633.85,4210.77,4257.44,4234.87,4295.9,4658.97,4407.18,1
4609.23,4202.56,4245.13,4194.87,4274.87,4596.41,4375.9,0
4625.64,4217.95,4253.85,4225.64,4296.41,4621.54,4383.08,0
4581.03,4175.38,4226.67,4177.95,4249.23,4578.46,4326.67,0
4592.82,4179.49,4208.72,4202.05,4292.82,4617.95,4415.38,0
4599.49,4197.44,4249.74,4210.77,4277.44,4621.54,4347.69,1
4611.28,4188.72,4225.64,4195.38,4263.08,4579.49,4363.08,1
4608.21,4204.62,4214.36,4196.92,4276.92,4611.28,4345.13,0
4608.21,4191.28,4229.23,4192.31,4270.77,4592.82,4352.31,1
4611.28,4195.38,4219.49,4191.28,4267.18,4605.13,4337.95,1
4615.9,4197.95,4217.95,4196.92,4283.59,4615.9,4357.44,0
4623.59,4212.82,4244.1,4173.33,4271.79,4598.97,4374.36,0
4616.41,4214.36,4256.92,4211.79,4282.05,4610.26,4379.49,1
4628.72,4208.72,4247.69,4222.05,4285.64,4636.92,4385.13,1
4627.18,4207.18,4236.41,4200,4272.31,4593.33,4345.13,0
4613.33,4193.33,4211.79,4188.21,4270.77,4586.15,4331.79,1
4608.72,4192.31,4232.31,4189.74,4257.44,4592.31,4352.82,0
4687.69,4272.82,4314.36,4300,4355.9,4703.59,4463.59,1
4608.72,4189.74,4212.31,4189.74,4258.97,4587.18,4348.72,1
4602.05,4182.56,4212.82,4196.92,4273.33,4593.33,4354.36,0
4629.74,4223.59,4247.18,4220,4284.1,4605.13,4360,0
4613.33,4182.56,4216.92,4178.46,4257.44,4552.82,4315.9,0
4612.31,4173.33,4210.26,4172.31,4251.28,4539.49,4290.26,0
4627.18,4204.62,4225.64,4204.1,4280.51,4589.74,4348.72,0
4592.82,4170.26,4175.9,4125.64,4236.41,4474.87,4260.51,0
4638.46,4212.31,4226.67,4167.69,4274.36,4597.95,4350.77,1
4597.44,4200.51,4218.97,4187.69,4266.67,4587.69,4357.44,1
4615.38,4201.03,4230.77,4193.85,4252.82,4605.13,4330.77,0
4621.54,4190.77,4234.36,4211.28,4281.54,4621.03,4363.08,0
4610.26,4198.97,4240,4220.51,4285.13,4631.28,4365.64,0
4624.1,4202.56,4237.95,4202.56,4281.54,4600.51,4361.54,1
4682.56,4270.26,4298.46,4267.69,4342.56,4687.69,4437.44,1
4603.59,4201.54,4217.95,4189.74,4263.59,4596.41,4340,0
4616.41,4210.26,4236.92,4202.05,4269.74,4598.97,4344.62,0
4598.46,4192.82,4219.49,4178.46,4266.67,4596.92,4348.72,1
4620.51,4202.56,4238.46,4209.23,4277.44,4606.15,4358.97,1
4649.23,4226.67,4246.67,4193.85,4305.64,4610.77,4377.95,1
4608.72,4192.31,4217.95,4182.05,4271.79,4598.46,4348.21,0
4609.23,4194.36,4226.67,4214.36,4274.87,4598.97,4353.85,0
4627.18,4206.15,4225.13,4195.9,4279.49,4605.13,4353.85,0
4603.08,4210.26,4229.74,4190.26,4275.9,4609.74,4348.21,0
4608.21,4209.23,4230.26,4219.49,4292.82,4623.08,4370.77,1
4619.49,4190.26,4223.59,4170.26,4268.72,4583.08,4351.79,0
4612.82,4218.46,4243.59,4217.44,4283.59,4627.69,4374.87,0
4625.13,4222.56,4221.54,4182.05,4281.03,4553.85,4301.54,1
4624.1,4206.15,4221.03,4207.69,4270.77,4591.28,4346.15,1
