FC5,T7,P7,O1,2,P8,T8,FC6,label
4116.92,4353.85,4623.08,4100,4623.59,4202.56,4229.23,4211.79,1
4129.74,4334.36,4615.38,4072.31,4585.64,4192.31,4225.13,4195.9,0
4122.56,4333.33,4613.33,4072.82,4602.05,4192.31,4223.08,4155.38,0
4232.31,4449.74,4750.26,4169.23,4731.28,4311.28,4352.31,4319.49,0
4102.56,4333.33,4617.95,4097.44,4612.82,4210.77,4240.51,4248.21,1
4120,4336.92,4620.51,4059.49,4614.36,4194.87,4229.23,4158.46,0
4120,4343.59,4636.41,4063.08,4620,4203.08,4225.13,4195.9,0
4121.03,4351.28,4635.38,4091.28,4633.85,4210.77,4257.44,4234.87,1
4135.38,4339.49,4631.28,4081.54,4609.23,4202.56,4245.13,4194.87,0
4119.49,4352.82,4627.18,4088.21,4625.64,4217.95,4253.85,4225.64,0
4121.03,4332.82,4618.46,4059.49,4581.03,4175.38,4226.67,4177.95,0
4168.21,4348.21,4614.87,4054.87,4592.82,4179.49,4208.72,4202.05,0
4122.05,4337.95,4614.87,4070.26,4599.49,4197.44,4249.74,4210.77,1
4136.92,4352.31,4629.74,4084.62,4611.28,4188.72,4225.64,4195.38,1
4133.33,4337.44,4615.9,4068.72,4608.21,4204.62,4214.36,4196.92,0
4100,4322.56,4602.56,4052.31,4608.21,4191.28,4229.23,4192.31,1
4110.77,4335.38,4609.74,4048.21,4611.28,4195.38,4219.49,4191.28,1
4124.1,4338.46,4622.56,4054.87,4615.9,4197.95,4217.95,4196.92,0
4114.36,4338.97,4620.51,4056.92,4623.59,4212.82,4244.1,4173.33,0
4151.79,4358.97,4646.67,4084.62,4616.41,4214.36,4256.92,4211.79,1
4112.31,4361.03,4637.44,4089.23,4628.72,4208.72,4247.69,4222.05,1
4111.79,4346.15,4573.33,4103.59,4627.18,4207.18,4236.41,4200,0
4104.62,4331.28,4613.85,4049.74,4613.33,4193.33,4211.79,4188.21,1
4107.18,4326.67,4604.1,4045.64,4608.72,4192.31,4232.31,4189.74,0
4194.87,4420.51,4692.82,4154.36,4687.69,4272.82,4314.36,4300,1
4124.62,4335.9,4611.28,4043.08,4608.72,4189.74,4212.31,4189.74,1
4135.9,4344.62,4614.87,4056.41,4602.05,4182.56,4212.82,4196.92,0
4141.03,4349.74,4632.82,4074.36,4629.74,4223.59,4247.18,4220,0
4120,4343.08,4601.54,4059.49,4613.33,4182.56,4216.92,4178.46,0
4092.82,4345.13,4615.9,4054.36,4612.31,4173.33,4210.26,4172.31,0
4089.74,4338.46,4621.54,4088.72,4627.18,4204.62,4225.64,4204.1,0
4127.18,4340,4616.41,4053.85,4592.82,4170.26,4175.9,4125.64,0
4121.03,4333.33,4616.41,4088.72,4638.46,4212.31,4226.67,4167.69,1
4126.67,4331.28,4603.08,4059.49,4597.44,4200.51,4218.97,4187.69,1
4120.51,4347.69,4617.95,4074.87,4615.38,4201.03,4230.77,4193.85,0
4123.59,4346.67,4626.15,4075.38,4621.54,4190.77,4234.36,4211.28,0
4118.97,4333.85,4620,4052.82,4610.26,4198.97,4240,4220.51,0
4108.72,4343.08,4617.44,4046.67,4624.1,4202.56,4237.95,4202.56,1
4188.21,4412.82,4688.72,4153.33,4682.56,4270.26,4298.46,4267.69,1
4117.95,4347.69,4623.08,4076.41,4603.59,4201.54,4217.95,4189.74,0
4107.18,4341.54,4621.54,4061.54,4616.41,4210.26,4236.92,4202.05,0
4105.13,4320.51,4591.28,4073.33,4598.46,4192.82,4219.49,4178.46,1
4108.72,4344.1,4622.05,4052.82,4620.51,4202.56,4238.46,4209.23,1
4142.56,4371.79,4656.41,4113.33,4649.23,4226.67,4246.67,4193.85,1
4109.74,4337.95,4619.49,4067.69,4608.72,4192.31,4217.95,4182.05,0
4142.56,4350.77,4631.79,4073.33,4609.23,4194.36,4226.67,4214.36,0
4118.46,4329.23,4617.44,4053.33,4627.18,4206.15,4225.13,4195.9,0
4122.05,4360,4629.74,4067.69,4603.08,4210.26,4229.74,4190.26,0
4123.59,4352.31,4624.1,4106.15,4608.21,4209.23,4230.26,4219.49,1
4110.77,4331.28,4619.49,4061.54,4619.49,4190.26,4223.59,4170.26,0
4129.74,4352.82,4633.33,4077.44,4612.82,4218.46,4243.59,4217.44,0
4133.33,4343.08,4637.44,4128.72,4625.13,4222.56,4221.54,4182.05,1
4101.54,4328.72,4601.03,4054.87,4624.1,4206.15,4221.03,4207.69,1
4081.54,4327.18,4601.54,4064.62,4603.08,4184.62,4222.56,4183.59,1
4162.05,4373.85,4649.74,4102.05,4646.67,4217.44,4227.18,4213.33,0
4110.26,4327.18,4606.15,4047.18,4604.62,4190.77,4217.95,4188.72,1
4136.92,4332.82,4615.38,4044.1,4609.23,4201.03,4228.21,4205.64,1
4117.44,4345.13,4620.51,4070.26,4598.46,4191.79,4210.26,4180,0
4115.38,4336.41,4624.62,4104.62,4627.18,4212.82,4233.85,4245.13,1
4125.13,4347.69,4622.05,4070.77,4625.13,4213.85,4239.49,4218.97,0
4120.51,4337.95,4621.54,4065.13,4608.21,4195.38,4228.21,4195.9,0
4135.38,4349.23,4628.21,4075.9,4608.21,4203.08,4220,4199.49,0
4128.21,4335.9,4624.1,4087.18,4618.97,4193.85,4223.59,4190.26,1
4100.51,4339.49,4617.44,4056.41,4603.59,4198.46,4233.85,4204.1,0
