AF3,F7,F3,F4,F8,AF4,label
4299.49,3997.44,4277.95,4278.97,4600,4369.23,1
4302.05,3985.64,4261.03,4283.08,4607.18,4358.46,0
4321.03,4015.9,4265.13,4286.15,4608.21,4371.79,0
4408.21,4104.1,4380,4388.21,4715.9,4464.1,0
4347.18,3975.38,4266.67,4313.33,4664.1,4411.79,1
4292.82,4007.18,4275.38,4270.26,4600.51,4353.33,0
4295.9,4017.44,4261.54,4271.28,4591.79,4350.77,0
4317.44,3981.03,4283.59,4295.9,4658.97,4407.18,1
4306.67,4017.44,4249.23,4274.87,4596.41,4375.9,0
4309.23,4019.49,4282.05,4296.41,4621.54,4383.08,0
4257.95,4009.23,4235.9,4249.23,4578.46,4326.67,0
4381.54,4069.74,4294.87,4292.82,4617.95,4415.38,0
4286.15,4014.87,4255.38,4277.44,4621.54,4347.69,1
4309.23,4031.28,4268.21,4263.08,4579.49,4363.08,1
4293.33,4030.26,4266.67,4276.92,4611.28,4345.13,0
4285.13,3993.85,4261.03,4270.77,4592.82,4352.31,1
4285.13,4008.21,4262.05,4267.18,4605.13,4337.95,1
4293.85,4001.03,4263.08,4283.59,4615.9,4357.44,0
4308.72,4031.79,4277.95,4271.79,4598.97,4374.36,0
4322.05,4054.87,4276.92,4282.05,4610.26,4379.49,1
4301.03,3987.18,4276.92,4285.64,4636.92,4385.13,1
4298.46,4011.28,4255.9,4272.31,4593.33,4345.13,0
4288.72,3983.59,4265.13,4270.77,4586.15,4331.79,1
4283.08,3985.64,4252.31,4257.44,4592.31,4352.82,0
4390.26,4054.87,4349.23,4355.9,4703.59,4463.59,1
4290.77,4004.62,4261.54,4258.97,4587.18,4348.72,1
4286.67,4003.59,4266.67,4273.33,4593.33,4354.36,0
4304.62,4014.87,4277.44,4284.1,4605.13,4360,0
4255.38,4018.97,4229.23,4257.44,4552.82,4315.9,0
4232.31,3992.82,4231.79,4251.28,4539.49,4290.26,0
4275.38,3989.74,4261.03,4280.51,4589.74,4348.72,0
4229.23,4017.44,4241.03,4236.41,4474.87,4260.51,0
4287.69,3997.44,4260,4274.36,4597.95,4350.77,1
4295.9,4011.28,4249.23,4266.67,4587.69,4357.44,1
4267.18,3997.95,4248.72,4252.82,4605.13,4330.77,0
4298.97,3993.85,4265.64,4281.54,4621.03,4363.08,0
4296.41,4003.59,4251.28,4285.13,4631.28,4365.64,0
4297.44,3986.67,4257.95,4281.54,4600.51,4361.54,1
4382.05,4063.08,4329.23,4342.56,4687.69,4437.44,1
4284.1,4039.49,4252.82,4263.59,4596.41,4340,0
4282.05,4003.59,4244.62,4269.74,4598.97,4344.62,0
4276.92,3963.08,4231.28,4266.67,4596.92,4348.72,1
4293.33,3982.56,4253.33,4277.44,4606.15,4358.97,1
4330.26,4009.74,4304.1,4305.64,4610.77,4377.95,1
4291.79,4046.67,4260,4271.79,4598.46,4348.21,0
4306.67,4010.77,4270.77,4274.87,4598.97,4353.85,0
4291.28,3997.44,4262.05,4279.49,4605.13,4353.85,0
4293.85,4054.87,4261.54,4275.9,4609.74,4348.21,0
4321.54,4040.51,4266.15,4292.82,4623.08,4370.77,1
4283.59,3989.74,4264.1,4268.72,4583.08,4351.79,0
4314.36,4062.56,4263.08,4283.59,4627.69,4374.87,0
4270.26,4021.54,4264.62,4281.03,4553.85,4301.54,1
4272.82,3978.97,4246.15,4270.77,4591.28,4346.15,1
4266.15,3937.44,4228.21,4258.46,4567.69,4320.51,1
4328.21,4059.49,4290.26,4298.46,4605.13,4372.82,0
4276.92,3987.69,4247.18,4264.62,4577.44,4337.95,1
4298.97,4020,4270.26,4276.41,4622.56,4358.46,1
4277.95,4043.08,4255.9,4258.97,4590.77,4336.92,0
4362.56,3983.08,4273.33,4324.62,4663.08,4421.03,1
4296.92,4000.51,4281.54,4291.79,4615.9,4373.85,0
4295.38,4044.62,4273.85,4281.03,4608.72,4354.87,0
4291.28,4038.97,4262.05,4268.21,4613.85,4349.23,0
4280,4013.33,4264.1,4270.77,4587.18,4336.92,1
4284.62,3980.51,4239.49,4258.46,4602.56,4341.54,0
4315.38,4008.21,4277.95,4280.51,4615.9,4362.56,1
4309.74,4015.9,4254.87,4267.18,4619.49,4363.59,1
4295.38,3989.74,4262.05,4264.62,4597.44,4358.97,0
4294.36,4002.56,4250.26,4260.51,4596.41,4344.1,0
4278.97,4029.74,4245.13,4265.64,4581.54,4326.67,0
4297.95,4004.1,4266.67,4297.95,4598.97,4377.95,0
4320,4031.28,4277.95,4297.95,4643.08,4394.36,1
4294.36,3992.82,4260,4280,4617.95,4347.69,0
4249.74,4036.92,4247.18,4257.95,4589.23,4298.97,0
4400,4049.74,4278.46,4304.62,4669.23,4468.21,0
4289.74,3992.82,4235.38,4271.79,4603.08,4348.21,0
4315.9,4013.85,4269.74,4286.15,4610.26,4384.1,1
4332.82,4047.69,4287.69,4281.03,4545.13,4362.56,1
4315.9,4007.18,4267.18,4297.95,4627.18,4373.33,0
4282.56,4039.49,4278.97,4285.64,4622.05,4344.62,1
4295.9,4001.03,4274.87,4271.28,4609.23,4366.67,0
4312.31,3973.33,4262.56,4305.64,4671.79,4418.97,1
4298.46,4008.21,4266.67,4286.15,4608.21,4372.82,0
4308.72,4010.26,4252.31,4266.67,4603.59,4350.77,1
4288.72,3952.31,4243.59,4271.79,4597.44,4344.62,1
4290.77,4007.69,4249.74,4268.21,4596.41,4353.85,1
4293.85,4024.62,4248.72,4272.31,4582.56,4353.33,0
4429.23,4065.13,4296.92,4326.15,4696.41,4481.03,0
4295.9,4009.23,4264.62,4278.97,4604.62,4361.03,0
4292.31,4005.64,4246.67,4266.67,4592.31,4351.79,0
4284.1,3997.44,4261.54,4276.92,4617.95,4348.72,0
4290.77,4020,4261.03,4277.95,4605.64,4356.41,0
4370.77,4058.46,4279.49,4291.28,4623.59,4404.62,0
4297.44,3988.72,4266.15,4282.05,4621.54,4353.33,1
4277.95,3993.85,4246.15,4258.97,4592.82,4349.74,0
4282.56,3998.46,4258.46,4271.28,4620.51,4352.31,1
4316.92,4011.28,4276.41,4290.26,4630.77,4373.33,1
4263.08,4011.28,4231.28,4254.87,4562.56,4313.33,0
4297.44,4044.1,4270.26,4276.41,4605.13,4348.21,0
4270.26,3978.97,4246.67,4255.38,4577.95,4344.1,0
4286.15,3994.87,4249.74,4276.41,4611.28,4334.87,1
4288.21,4008.21,4268.21,4282.05,4576.92,4349.23,0
4281.54,3988.21,4245.13,4281.03,4633.85,4367.69,1
4277.44,4027.18,4251.28,4259.49,4611.28,4342.56,1
4302.56,4006.15,4280.51,4275.9,4602.05,4366.67,0
4275.9,4014.36,4258.46,4289.74,4619.49,4343.59,1
4292.82,4001.03,4277.95,4289.74,4611.28,4372.82,0
4290.77,4030.77,4270.77,4281.03,4629.74,4346.67,1
4326.15,4052.31,4284.62,4285.64,4587.18,4380.51,1
4275.9,4008.72,4255.9,4269.74,4605.64,4338.97,1
4406.67,4076.41,4295.9,4313.85,4637.44,4457.44,0
4286.67,3962.05,4266.15,4295.9,4621.54,4353.85,0
4278.46,3932.82,4249.23,4307.18,4652.82,4358.97,1
4305.64,4003.08,4278.97,4284.1,4617.95,4358.46,0
4242.56,3982.05,4238.97,4255.9,4560,4297.44,0
4277.95,3967.18,4262.56,4262.56,4591.79,4341.03,0
4275.38,4029.23,4258.46,4258.46,4618.46,4335.38,1
4305.64,4018.46,4279.49,4286.67,4610.77,4366.67,1
4317.44,4021.54,4281.54,4294.36,4640,4381.03,0
4278.97,4000.51,4256.92,4265.13,4584.1,4343.08,1
4286.67,3946.15,4237.44,4267.18,4586.67,4338.97,1
4284.1,4022.56,4256.41,4267.18,4622.05,4344.1,1
4272.82,3978.46,4256.41,4277.95,4581.54,4336.92,1
4274.87,3994.36,4250.26,4264.1,4607.69,4324.62,1
4282.05,4012.82,4262.05,4254.36,4603.08,4335.9,0
4275.9,3982.05,4256.92,4274.36,4588.72,4343.08,1
4261.54,3985.13,4251.79,4253.85,4569.74,4323.08,0
4315.38,3982.05,4271.28,4291.28,4620,4393.85,1
4285.13,3940.51,4249.23,4268.21,4592.82,4331.79,0
4276.92,3990.77,4253.33,4270.77,4617.95,4356.41,1
4277.44,4002.56,4266.15,4268.21,4593.85,4336.92,1
4302.56,4020.51,4261.54,4263.08,4592.31,4353.85,0
4272.31,4018.97,4254.87,4262.56,4603.59,4332.31,1
4406.67,4128.21,4296.92,4296.41,4617.95,4427.69,1
4274.87,3970.77,4247.69,4265.64,4587.69,4341.03,1
4454.36,4060,4311.28,4340,4746.67,4538.97,0
4275.38,3998.97,4253.33,4268.21,4594.36,4344.1,0
4294.36,4011.28,4260.51,4269.23,4595.38,4352.31,1
4277.95,3973.85,4263.59,4285.13,4571.79,4342.05,0
4278.97,3988.21,4247.69,4258.97,4578.97,4337.95,1
4303.08,4002.05,4278.46,4285.13,4612.31,4356.41,0
4295.9,4006.67,4265.64,4283.08,4598.97,4355.9,1
4291.28,4022.56,4261.54,4268.72,4580.51,4348.72,1
4271.28,3990.26,4258.97,4266.67,4578.46,4331.79,1
4305.13,4040.51,4268.72,4285.13,4608.21,4370.26,0
4298.97,3970.77,4266.67,4281.54,4639.49,4389.74,1
4273.85,3975.9,4245.64,4256.41,4592.82,4335.38,0
4307.18,4007.69,4268.72,4282.56,4611.28,4362.56,1
4313.33,4022.05,4270.26,4288.21,4642.05,4388.72,1
4291.28,3988.72,4275.9,4292.82,4588.72,4354.87,0
4271.28,3982.56,4245.64,4257.44,4580,4346.67,0
4303.59,3991.28,4268.72,4285.13,4610.26,4367.69,0
4322.05,4038.97,4276.41,4305.13,4631.79,4382.05,1
4356.41,3983.59,4280.51,4314.36,4665.64,4422.05,1
4395.38,4074.36,4332.31,4327.69,4634.36,4424.62,1
4425.13,4069.74,4291.79,4315.9,4708.72,4498.46,0
4415.38,4048.21,4281.54,4306.15,4671.28,4472.31,1
4291.28,3964.62,4247.69,4268.72,4597.44,4344.62,1
4256.92,3990.26,4230.26,4257.44,4573.33,4312.31,0
4326.15,4058.97,4247.18,4273.33,4598.46,4376.41,0
4318.97,4019.49,4250.26,4292.31,4622.05,4387.18,0
4283.59,3989.23,4252.82,4274.36,4598.97,4357.44,0
4306.15,4024.1,4288.21,4302.05,4648.21,4376.41,1
4276.41,3991.79,4254.87,4272.31,4602.56,4342.56,0
4291.79,4001.03,4250.26,4274.87,4602.56,4360,1
4444.62,4091.28,4301.03,4316.92,4679.49,4475.9,0
4293.85,4041.03,4263.59,4268.72,4603.08,4338.97,0
4240.51,3974.36,4229.74,4253.85,4557.95,4295.9,0
4329.74,3981.54,4246.15,4272.31,4588.72,4376.41,1
4324.62,4020,4278.46,4285.64,4625.13,4386.15,1
4291.79,3983.59,4247.69,4272.82,4584.62,4347.69,0
4321.03,4010.77,4289.23,4300,4627.69,4376.92,0
4304.1,4061.54,4276.92,4277.95,4614.87,4356.92,0
4229.74,4024.62,4213.33,4233.85,4551.79,4290.77,0
4317.44,4040,4262.05,4292.31,4621.54,4367.18,1
4294.87,4050.26,4262.05,4275.38,4607.69,4353.33,0
4281.54,4001.03,4268.72,4274.87,4594.36,4354.36,0
4302.56,4038.46,4264.1,4274.87,4605.64,4356.92,0
4333.33,4032.82,4302.05,4296.41,4632.31,4388.72,0
4371.79,3993.33,4263.08,4293.33,4631.79,4426.67,1
4289.74,4014.36,4253.85,4262.05,4586.67,4352.82,0
4253.33,3976.41,4240.51,4261.54,4574.36,4323.59,0
4304.1,3971.79,4275.38,4288.21,4643.08,4390.26,1
4266.67,4016.41,4252.31,4266.67,4608.21,4325.64,1
4315.38,4028.21,4269.74,4294.36,4625.64,4376.92,1
4283.59,3970.77,4243.08,4257.44,4595.38,4341.54,0
4243.08,4003.59,4241.03,4244.62,4535.9,4301.03,0
4246.67,4006.15,4216.92,4245.13,4549.74,4310.26,0
4370.77,4057.44,4285.64,4294.36,4610.77,4409.23,0
4273.85,3974.87,4254.87,4276.41,4583.08,4335.38,1
4316.41,3963.59,4252.82,4286.67,4601.03,4372.82,1
4295.9,4006.15,4266.67,4277.95,4579.49,4358.46,1
4416.92,4106.67,4261.03,4292.82,4643.08,4442.05,0
4382.05,4033.33,4278.46,4309.23,4664.1,4450.77,1
4301.03,4016.92,4267.18,4277.95,4601.54,4347.18,1
4287.69,3994.87,4265.64,4283.59,4608.21,4362.56,0
4302.56,3996.92,4261.54,4273.33,4602.56,4361.54,1
4263.08,3992.31,4249.23,4261.54,4586.15,4333.33,0
4290.26,3984.62,4233.85,4260,4596.92,4337.95,0
4305.64,4015.9,4242.05,4286.15,4612.82,4391.28,0
