AF3,F7,F3,FC5,T7,P7,O1,2,P8,T8,FC6,F4,F8,AF4,index,label,probability
4296.41,4040.51,4253.33,4124.1,4341.54,4618.46,4075.38,4601.03,4183.59,4204.1,4197.44,4268.72,4598.46,4342.56,0,0,0.894801882
4291.28,3994.36,4247.18,4102.56,4328.21,4616.41,4057.44,4622.56,4198.46,4227.69,4190.77,4260.51,4593.33,4337.95,1,0,0.730356762
4299.49,4019.49,4269.74,4116.41,4344.1,4635.38,4067.18,4627.18,4211.28,4233.33,4202.56,4280.51,4596.92,4350.26,2,0,0.869984984
4280,4004.62,4263.59,4120.51,4323.59,4603.08,4040.51,4589.23,4174.87,4212.82,4192.82,4271.79,4608.72,4344.1,3,1,0.843845111
4317.44,3968.72,4260.51,4101.54,4341.54,4600.51,4071.28,4607.69,4191.28,4231.28,4199.49,4282.05,4592.31,4372.82,4,1,0.921428571
4298.46,4003.59,4260,4121.03,4321.03,4602.56,4071.79,4591.28,4180,4212.82,4148.72,4281.54,4605.64,4355.9,5,0,0.751768842
4305.64,4007.18,4270.77,4131.79,4330.26,4608.21,4056.92,4608.72,4187.69,4225.64,4215.9,4276.92,4616.92,4362.05,6,1,0.627380952
4294.36,3994.36,4248.72,4111.28,4346.67,4623.08,4058.97,4591.79,4187.18,4227.69,4208.21,4264.1,4606.67,4361.54,7,0,0.746428571
4278.46,3985.64,4248.72,4105.13,4345.13,4621.54,4071.79,4615.9,4190.26,4223.59,4195.38,4265.13,4603.08,4338.97,8,0,0.814911876
4324.1,4022.05,4295.38,4137.95,4373.33,4654.36,4106.67,4653.85,4238.97,4261.54,4231.28,4309.74,4653.33,4393.85,9,1,0.704477999
4331.28,3992.31,4275.38,4122.05,4360.51,4634.36,4090.26,4640,4213.85,4259.49,4236.41,4290.26,4674.87,4423.59,10,1,0.910714286
4335.38,4023.08,4262.05,4134.87,4334.87,4598.97,4061.03,4578.97,4174.87,4213.33,4190.26,4275.38,4604.1,4391.28,11,1,0.78913472
4329.74,3978.97,4276.92,4115.38,4347.69,4621.03,4088.72,4616.92,4205.13,4238.97,4204.62,4287.69,4614.36,4376.92,12,1,0.74725044
4312.31,4001.03,4264.1,4126.67,4323.08,4633.33,4074.87,4628.72,4204.62,4236.41,4216.92,4293.85,4621.54,4370.26,13,0,0.772867579
4367.18,4051.28,4320,4181.03,4402.05,4674.87,4129.23,4673.85,4256.41,4278.97,4236.41,4322.05,4650.77,4411.79,14,1,0.919376404
4347.18,4042.05,4282.56,4123.59,4340,4616.92,4081.54,4602.56,4185.13,4231.79,4206.15,4297.95,4605.64,4384.1,15,0,0.660714286
4280,3993.33,4260,4091.28,4342.05,4620.51,4077.95,4615.38,4200,4228.72,4209.23,4271.79,4599.49,4346.67,16,0,0.76957734
4296.92,4005.13,4262.05,4112.31,4343.08,4615.38,4046.67,4610.26,4197.95,4228.21,4205.64,4266.15,4606.67,4341.54,17,1,0.723214286
4284.62,3988.21,4250.26,4096.92,4334.36,4608.72,4057.95,4611.28,4198.46,4227.69,4195.9,4278.46,4586.67,4348.72,18,1,0.724142406
4274.36,3981.54,4250.26,4102.05,4329.23,4622.56,4057.44,4640.51,4218.46,4226.67,4182.05,4271.28,4554.87,4331.28,19,0,0.508928571
4280,3994.87,4259.49,4113.85,4344.62,4622.05,4086.15,4615.9,4190.77,4229.23,4205.13,4267.18,4593.85,4350.77,20,0,0.607921245
4307.18,4037.95,4277.95,4153.33,4356.41,4623.59,4078.97,4596.41,4177.44,4214.36,4197.44,4269.23,4577.44,4355.9,21,1,0.544642857
4290.26,3972.82,4254.36,4102.56,4333.33,4619.49,4073.85,4623.08,4223.08,4244.1,4212.31,4277.44,4631.28,4370.77,22,1,0.542857143
4296.41,4047.69,4260.51,4133.33,4345.13,4619.49,4068.21,4595.38,4190.77,4205.64,4190.26,4263.59,4603.59,4347.18,23,0,0.875249778
4298.46,4012.82,4244.62,4131.28,4342.56,4626.15,4085.13,4599.49,4185.13,4239.49,4194.87,4279.49,4599.49,4374.36,24,0,0.772911282
4287.69,3983.59,4244.62,4098.46,4340,4621.03,4055.38,4596.41,4193.85,4228.72,4208.21,4265.64,4608.72,4353.85,25,0,0.788550671
4286.67,4003.59,4264.1,4123.59,4347.18,4616.41,4062.05,4623.08,4203.59,4237.44,4200,4279.49,4606.15,4354.36,26,0,0.74275166
4286.15,4000,4265.13,4121.03,4325.64,4615.38,4078.97,4612.31,4193.85,4220.51,4194.87,4275.9,4598.97,4347.18,27,0,0.885930736
4312.31,3976.41,4253.85,4136.41,4334.36,4615.9,4066.15,4601.54,4194.36,4222.56,4177.44,4279.49,4612.82,4383.08,28,1,0.814285714
4307.18,3995.9,4266.67,4122.05,4341.03,4635.9,4062.05,4615.38,4209.23,4241.54,4222.05,4281.03,4611.79,4368.72,29,0,0.886904762
4385.13,4088.72,4344.62,4197.95,4420.51,4714.87,4140,4697.95,4285.13,4328.21,4297.44,4363.59,4695.38,4450.77,30,0,0.950462303
4298.97,3994.36,4263.59,4121.54,4321.03,4615.9,4072.82,4617.44,4198.97,4226.67,4191.79,4282.05,4610.77,4369.74,31,0,0.54984127
4316.92,4039.49,4266.67,4125.13,4350.26,4626.15,4112.82,4626.67,4219.49,4233.33,4221.54,4292.82,4621.54,4363.59,32,1,0.858339251
