index,probability1,label1,probability2,label2,probability3,label3,probability4,label4,probability5,label5
0,0.9375,0,0.880025465,0,0.783776534,0,0.887179487,0,0.977179487,0
1,0.685970026,0,0.644849245,0,0.879098849,0,0.597435897,0,0.871367521,0
2,0.932142857,0,0.819641106,0,0.910334408,0,0.976923077,0,0.703205128,0
3,0.979761905,1,0.915696779,1,0.876025641,1,0.876923077,1,0.545512821,1
4,0.921428571,1,0.918937075,1,0.691937761,0,0.807692308,1,0.942307692,1
5,0.810714286,0,0.599469955,0,0.820072386,0,0.676923077,0,0.86474359,0
6,0.627380952,1,0.792722957,1,0.561866401,0,0.558974359,0,0.686965812,1
7,0.746428571,0,0.83205494,0,0.604451078,1,0.830769231,0,0.687478632,0
8,0.864306706,0,0.918838625,0,0.647554015,0,0.764102564,0,0.859487179,0
9,0.819047619,1,0.843571429,1,0.711324786,1,0.58974359,1,0.536837607,1
10,0.910714286,1,0.824285714,1,0.858547009,1,0.848717949,1,0.514316239,0
11,0.819642857,1,0.795403933,1,0.834321581,1,0.882051282,1,0.606452991,1
12,0.782142857,1,0.89047619,1,0.500075169,1,0.574358974,1,0.970512821,1
13,0.872619048,0,0.771615187,0,0.719198314,0,0.794871795,0,0.689529915,0
14,0.989285714,1,0.995833333,1,0.849786325,1,0.966666667,1,0.773547009,1
15,0.660714286,0,0.625761555,0,0.665147631,0,0.530769231,1,0.551965812,0
16,0.868524971,0,0.761136349,0,0.677329631,0,0.805128205,0,0.717776399,0
17,0.723214286,1,0.823690476,1,0.890114977,0,0.861538462,1,0.534401709,0
18,0.761832172,1,0.843401514,1,0.524433392,1,0.848717949,1,0.611538462,1
19,0.508928571,0,0.850826801,0,0.633810402,1,0.507692308,1,0.801709402,1
20,0.607921245,0,0.639980007,0,0.627202733,0,0.543589744,1,0.534314861,0
21,0.544642857,1,0.541941188,0,0.707103398,1,0.512820513,0,0.537179487,1
22,0.542857143,1,0.586379154,0,0.570992754,0,0.546153846,1,0.680769231,1
23,0.929761905,0,0.900578231,0,0.578469891,0,0.951282051,0,0.990598291,0
24,0.801190476,0,0.795357143,0,0.819537981,0,0.669230769,0,0.780769231,0
