index,probability_gcforest,label_gcforest,probability_logistic,label_logistic,probability_mlp,label_mlp,probability_random_forest,label_random_forest,probability_svm,label_svm
0,0.983910375,0,0.765991656,0,0.970314038,0,0.9375,0,0.79762568,0
1,0.813444103,0,0.641209959,0,0.672638437,0,0.685970026,0,0.654930084,0
2,0.832586205,0,0.689315955,0,0.965166945,0,0.932142857,0,0.707392532,0
3,0.90082952,1,0.625315563,0,0.876731574,1,0.979761905,1,0.621361093,0
4,0.903724808,1,0.829017503,1,0.971037109,1,0.921428571,1,0.846986684,1
5,0.74921252,1,0.562817005,1,0.510280218,0,0.810714286,0,0.566709755,1
6,0.737129092,1,0.596248773,0,0.997605378,1,0.627380952,1,0.597279837,0
7,0.871826893,0,0.581955759,0,0.665557954,1,0.746428571,0,0.592519049,0
8,0.906923911,0,0.531702537,0,0.853789878,0,0.864306706,0,0.560139452,0
9,0.883489506,1,0.56848675,1,0.55514296,0,0.819047619,1,0.505597865,1
10,0.842986939,1,0.711558212,1,0.9994416,1,0.910714286,1,0.651711072,1
11,0.818664105,1,0.548726119,1,0.990363298,1,0.819642857,1,0.576676363,1
12,0.73909643,1,0.741221544,1,0.998733921,1,0.782142857,1,0.751947767,1
13,0.576358505,0,0.751650988,0,0.99987386,1,0.872619048,0,0.77011592,0
14,0.864968337,1,0.568246498,1,0.532989047,1,0.989285714,1,0.541765362,1
15,0.566182196,0,0.502297628,0,0.750993606,1,0.660714286,0,0.530063231,0
16,0.591157915,0,0.515369051,1,0.988776952,0,0.868524971,0,0.537966149,0
17,0.74921252,1,0.561543901,0,0.60574195,0,0.723214286,1,0.564373796,0
18,0.714361089,1,0.584808116,1,0.974095161,0,0.761832172,1,0.581965965,1
19,0.80149741,0,0.596255711,0,0.993587662,0,0.508928571,0,0.56332186,0
20,0.629805778,0,0.553576416,0,0.969735828,0,0.607921245,0,0.590945376,0
21,0.818574194,0,0.690762019,0,0.955100674,0,0.544642857,1,0.670590478,0
22,0.749508541,0,0.59130604,1,0.950347355,1,0.542857143,1,0.556729147,1
23,0.93034429,0,0.765290498,0,0.991077916,0,0.929761905,0,0.787157409,0
24,0.939453633,0,0.644811616,0,0.971255243,0,0.801190476,0,0.678115502,0
25,0.861554684,0,0.555654174,0,0.742826953,1,0.816964286,0,0.572842204,0
26,0.783502131,0,0.543134967,1,0.985243295,0,0.747738095,0,0.533467282,1
27,0.650688999,0,0.632695297,0,0.761954035,1,0.885930736,0,0.648382574,0
28,0.667522682,0,0.58068251,1,0.99985158,1,0.814285714,1,0.637876671,1
29,0.655458008,0,0.664729464,0,0.993129232,1,0.886904762,0,0.661077503,0
30,0.509242853,0,0.651073305,0,0.740154795,0,0.95,0,0.742534477,0
31,0.827942409,0,0.574752191,0,0.988296222,1,0.54984127,0,0.583176385,0
32,0.883710928,1,0.587421466,0,0.970595896,0,0.994047619,1,0.666709477,0
33,0.730244674,0,0.597220201,1,0.991914962,0,0.714285714,1,0.546127855,1
34,0.816870438,1,0.688411815,0,0.771873012,1,0.810714286,0,0.723698639,0
35,0.719528598,1,0.70603364,0,0.891283961,1,0.823809524,1,0.644267142,0
36,0.735793662,1,0.644649768,1,0.984816012,0,0.798736934,1,0.581061181,1
37,0.87705898,1,0.578672015,0,0.908652513,0,0.883333333,1,0.578482375,0
38,0.652751772,0,0.551117266,1,0.652645341,1,0.533035714,1,0.575010459,1
39,0.664836421,0,0.633499255,0,0.914573635,1,0.775,0,0.648796656,0
40,0.675828275,0,0.672191081,1,0.985468653,1,0.873809524,0,0.650001104,1
41,0.654400041,0,0.615037182,0,0.946972959,0,0.811904762,0,0.666307378,0
42,0.701186107,0,0.577746164,0,0.96145294,0,0.786747776,0,0.589802215,0
43,0.983910375,0,0.707805918,0,0.997250163,0,0.610714286,0,0.71780153,0
44,0.827667654,1,0.569911222,1,0.94693236,0,0.528367347,0,0.591331898,1
45,0.887775024,0,0.514223626,0,0.994176853,0,0.789186647,0,0.517859183,0
46,0.863448172,1,0.552195232,0,0.996432402,1,0.821428571,0,0.608170071,0
47,0.771011713,1,0.596589882,0,0.887105614,1,0.796428571,0,0.634077251,0
48,0.718163419,1,0.515751475,0,0.963008937,0,0.951190476,1,0.59601207,0
49,0.741034017,1,0.668356496,1,0.784482509,1,0.8125,1,0.684550286,1
50,0.658546971,0,0.680790293,0,0.999089152,0,0.588095238,0,0.707212039,0
51,0.911652274,0,0.738115986,0,0.999999887,0,0.640536723,1,0.724603375,0
52,0.707602401,1,0.559645437,1,0.788022215,1,0.838095238,1,0.552873722,1
53,0.554027518,0,0.570924559,0,0.990888865,0,0.725,0,0.559569358,0
54,0.687559564,1,0.56073691,0,0.745577435,0,0.61547619,1,0.578053533,0
55,0.715096534,1,0.61657533,0,0.647863373,1,0.752380952,1,0.632947878,0
56,0.729676047,1,0.508978129,1,0.99998352,1,0.722619048,1,0.538426374,1
57,0.636924518,0,0.587364374,1,0.98422608,0,0.646645022,0,0.535639992,1
58,0.937199961,0,0.657768236,0,0.906468836,1,0.708928571,0,0.665812389,0
59,0.694471321,1,0.53699196,0,0.962909112,1,0.567857143,0,0.548147732,0
60,0.687944843,1,0.699029323,1,0.963258892,1,0.676190476,1,0.734284611,1
61,0.967830308,0,0.739571636,0,0.999999839,0,0.822462062,0,0.762860881,0
62,0.707440535,1,0.827994969,1,0.999999973,1,0.908333333,1,0.768975607,1
63,0.666897686,0,0.582244579,0,0.968566436,0,0.580011931,0,0.58245712,0
64,0.842198229,0,0.713441874,0,0.990052606,0,0.545779221,0,0.750687454,0
65,0.912601169,0,0.683486492,0,0.880565863,0,0.976785714,0,0.715761587,0
66,0.710128912,0,0.823682973,0,0.999937946,0,0.57797619,0,0.817171751,0
67,0.883404404,1,0.575046833,1,0.938403966,0,0.928571429,1,0.571637186,1
68,0.634991096,0,0.66510147,0,0.974008207,0,0.756547619,0,0.687913046,0
69,0.617105743,0,0.87676343,0,0.999915962,0,0.6975,0,0.869269329,0
70,0.726783471,1,0.57470229,0,0.738198543,1,0.827380952,1,0.523965697,0
71,0.712090238,1,0.617662333,0,0.8304896,1,0.50952381,0,0.64966559,0
72,0.829661563,1,0.728768674,1,0.979522267,1,0.917857143,1,0.771797526,1
73,0.796578795,1,0.715999096,1,0.767373233,0,0.832142857,1,0.67849308,1
74,0.875003769,0,0.676084961,0,0.932680849,1,0.750595238,0,0.714397651,0
75,0.655456135,0,0.667135431,0,0.999901749,0,0.638968254,1,0.683543501,0
76,0.959390849,0,0.74012351,0,0.99750976,0,0.892857143,0,0.771252436,0
77,0.872354586,0,0.734759287,0,0.998864206,0,0.67949729,0,0.766378184,0
78,0.697771467,0,0.531508759,1,0.900924075,0,0.530952381,0,0.510787123,1
79,0.572271855,0,0.677151255,1,0.987506572,1,0.909285714,1,0.586093393,1
80,0.663030341,0,0.721142832,0,0.999722053,0,0.681028317,0,0.733354088,0
81,0.776079501,0,0.540873326,1,0.819057628,0,0.873973051,0,0.517980235,1
82,0.647948969,0,0.553354255,1,0.729614934,0,0.547222222,0,0.583238824,1
83,0.515633362,1,0.509004821,0,0.87201566,1,0.607366071,1,0.527063224,0
84,0.651499054,0,0.531436789,0,0.774130907,1,0.692700157,0,0.545308911,0
85,0.619328113,0,0.76314887,0,0.999052041,1,0.796428571,0,0.768829237,0
86,0.826379297,1,0.508600478,1,0.950456731,0,0.798214286,0,0.526911389,1
87,0.897306715,0,0.569271715,0,0.918226348,0,0.985714286,0,0.55504145,0
88,0.730471785,0,0.721890779,0,0.99855034,0,0.578571429,0,0.764309671,0
89,0.704581432,0,0.720962717,0,0.959409642,0,0.585119048,1,0.735386141,0
90,0.801481053,0,0.550103171,0,0.978842519,0,0.753510896,0,0.518777552,0
91,0.795837816,0,0.512440401,1,0.998541799,0,0.735653753,0,0.514976674,0
92,0.76819422,0,0.558096652,0,0.999995364,0,0.757142857,0,0.552120433,0
93,0.705415772,1,0.506457091,1,0.878942192,0,0.928571429,1,0.533182294,1
94,0.688583297,1,0.539889381,1,0.960260704,1,0.63452381,1,0.525811664,1
95,0.890496426,1,0.526785216,1,0.648290851,0,0.5625,1,0.524815348,1
96,0.668454846,0,0.674544899,0,0.998804006,0,0.747619048,1,0.70480923,0
97,0.589339581,0,0.517081172,1,0.999999712,1,0.520833333,0,0.5136841,1
98,0.861653301,1,0.658456533,0,0.999795175,0,0.888095238,1,0.682814442,0
99,0.862906221,0,0.553750718,0,0.902407343,1,0.971428571,0,0.575019913,0
100,0.768743417,0,0.554540482,1,0.60197452,0,0.858147311,0,0.552086138,1
101,0.839341663,0,0.560694529,0,0.556181974,0,0.923647365,0,0.559252141,0
102,0.83733164,0,0.702510421,0,0.983705136,0,0.821985871,0,0.737647667,0
103,0.70882652,1,0.509145813,1,0.713207001,1,0.876190476,1,0.512339102,1
104,0.889578196,1,0.534924583,1,0.529524284,0,0.578571429,0,0.571502764,1
105,0.681580831,0,0.677174793,0,0.999999323,1,0.76547619,0,0.696114978,0
106,0.694700717,0,0.569529634,0,0.954649193,0,0.594047619,0,0.597919284,0
107,0.908951665,1,0.553285199,1,0.920730381,1,0.898214286,1,0.568455291,1
108,0.833858631,1,0.505770765,1,0.947088738,0,0.746428571,1,0.542762371,0
109,0.621213671,1,0.550725194,1,0.897362491,1,0.560714286,0,0.507390839,1
110,0.700261845,1,0.647824099,1,0.955551092,0,0.68452381,1,0.62423169,1
111,0.721445878,1,0.634380625,0,0.999999253,0,0.757142857,1,0.702718961,0
112,0.82963795,0,0.667422991,0,0.969212871,0,0.969642857,0,0.660950103,0
113,0.866383492,0,0.872761137,0,0.999999944,0,0.856925339,0,0.894652256,0
114,0.642619344,0,0.518387665,1,0.998788423,0,0.704761905,0,0.541672727,0
115,0.819522749,0,0.627081531,0,0.548959089,0,0.745700849,0,0.624216394,0
116,0.626033509,0,0.568665854,0,0.990785226,0,0.738095238,1,0.554508951,0
117,0.72000888,1,0.765622439,1,0.999217226,1,0.925,1,0.743135954,1
118,0.690192499,0,0.548375713,1,0.691208188,0,0.505729167,0,0.517705415,0
